t_s,r
0.000000000000000000e+00,7.122649676019401910e-02
1.000000000000000021e-03,7.122682363766076608e-02
2.000000000000000042e-03,7.122747141232142754e-02
3.000000000000000062e-03,7.122843416161948882e-02
4.000000000000000083e-03,7.122970485149485165e-02
5.000000000000000104e-03,7.123127786198642231e-02
6.000000000000000125e-03,7.123314679704838281e-02
7.000000000000000146e-03,7.123530497186143784e-02
8.000000000000000167e-03,7.123774561288470641e-02
9.000000000000001055e-03,7.124046221229687892e-02
1.000000000000000021e-02,7.124344885212877121e-02
1.099999999999999936e-02,7.124669813008667474e-02
1.200000000000000025e-02,7.125020365082984641e-02
1.300000000000000114e-02,7.125395824768458730e-02
1.400000000000000029e-02,7.125795518227162617e-02
1.499999999999999944e-02,7.126218665847580680e-02
1.600000000000000033e-02,7.126664635525400970e-02
1.700000000000000122e-02,7.127132673906007299e-02
1.800000000000000211e-02,7.127622074330594582e-02
1.899999999999999953e-02,7.128132196589380409e-02
2.000000000000000042e-02,7.128662338128088916e-02
2.100000000000000130e-02,7.129211783175568029e-02
2.199999999999999872e-02,7.129779867721787456e-02
2.299999999999999961e-02,7.130365829139297118e-02
2.400000000000000050e-02,7.130968942959677037e-02
2.500000000000000139e-02,7.131588453171107400e-02
2.600000000000000228e-02,7.132223667170006776e-02
2.699999999999999969e-02,7.132873786373807035e-02
2.800000000000000058e-02,7.133538203236897135e-02
2.900000000000000147e-02,7.134216181557850867e-02
2.999999999999999889e-02,7.134906891493271452e-02
3.099999999999999978e-02,7.135609703704817730e-02
3.200000000000000067e-02,7.136323840482017289e-02
3.300000000000000155e-02,7.137048558558335698e-02
3.400000000000000244e-02,7.137783175201824204e-02
3.500000000000000333e-02,7.138526848446474782e-02
3.600000000000000422e-02,7.139278952815267254e-02
3.699999999999999817e-02,7.140038696611127056e-02
3.799999999999999906e-02,7.140805391309575090e-02
3.899999999999999994e-02,7.141578306787065011e-02
4.000000000000000083e-02,7.142356747002315265e-02
4.100000000000000172e-02,7.143139884483877544e-02
4.200000000000000261e-02,7.143926927586019548e-02
4.300000000000000350e-02,7.144717320862446763e-02
4.399999999999999745e-02,7.145510331465970699e-02
4.499999999999999833e-02,7.146305197229681216e-02
4.599999999999999922e-02,7.147101187627059871e-02
4.700000000000000011e-02,7.147897662923050066e-02
4.800000000000000100e-02,7.148693921331079892e-02
4.900000000000000189e-02,7.149489227457535290e-02
5.000000000000000278e-02,7.150282890788781098e-02
5.100000000000000366e-02,7.151074199103925333e-02
5.200000000000000455e-02,7.151862423218360854e-02
5.299999999999999850e-02,7.152646931505245165e-02
5.399999999999999939e-02,7.153427066293847891e-02
5.500000000000000028e-02,7.154202169729793892e-02
5.600000000000000117e-02,7.154971510621425945e-02
5.700000000000000205e-02,7.155734427407599296e-02
5.800000000000000294e-02,7.156490275278978852e-02
5.900000000000000383e-02,7.157238419678231545e-02
5.999999999999999778e-02,7.157978225773195535e-02
6.099999999999999867e-02,7.158709102110566436e-02
6.199999999999999956e-02,7.159430338272118610e-02
6.300000000000000044e-02,7.160141233165134844e-02
6.400000000000000133e-02,7.160841320222506579e-02
6.500000000000000222e-02,7.161529905364945325e-02
6.600000000000000311e-02,7.162206400087399449e-02
6.700000000000000400e-02,7.162870225295034365e-02
6.800000000000000488e-02,7.163520683738433537e-02
6.900000000000000577e-02,7.164157346742829058e-02
7.000000000000000666e-02,7.164779548052170599e-02
7.100000000000000755e-02,7.165386791250256959e-02
7.200000000000000844e-02,7.165978427469663070e-02
7.299999999999999545e-02,7.166553982321384464e-02
7.399999999999999634e-02,7.167112919989039599e-02
7.499999999999999722e-02,7.167654608202365940e-02
7.599999999999999811e-02,7.168178594343614651e-02
7.699999999999999900e-02,7.168684310988558683e-02
7.799999999999999989e-02,7.169171389897074920e-02
7.900000000000000078e-02,7.169639261384758155e-02
8.000000000000000167e-02,7.170087422657729637e-02
8.100000000000000255e-02,7.170515465100740782e-02
8.200000000000000344e-02,7.170922916758994126e-02
8.300000000000000433e-02,7.171309379321332000e-02
8.400000000000000522e-02,7.171674398843722043e-02
8.500000000000000611e-02,7.172017483020175221e-02
8.600000000000000699e-02,7.172338170209409391e-02
8.700000000000000788e-02,7.172636020688280545e-02
8.799999999999999489e-02,7.172910627032359765e-02
8.899999999999999578e-02,7.173161730245486423e-02
8.999999999999999667e-02,7.173388932983272570e-02
9.099999999999999756e-02,7.173591860787678631e-02
9.199999999999999845e-02,7.173770135600462949e-02
9.299999999999999933e-02,7.173923403194340520e-02
9.400000000000000022e-02,7.174051383002913451e-02
9.500000000000000111e-02,7.174153723609565103e-02
9.600000000000000200e-02,7.174230090182005803e-02
9.700000000000000289e-02,7.174280181761183428e-02
9.800000000000000377e-02,7.174303793670723517e-02
9.900000000000000466e-02,7.174300474688789786e-02
1.000000000000000056e-01,7.174270072428057254e-02
1.010000000000000064e-01,7.174212322919074070e-02
1.020000000000000073e-01,7.174127052881097699e-02
1.030000000000000082e-01,7.174013976818696681e-02
1.040000000000000091e-01,7.173872855959105566e-02
1.049999999999999961e-01,7.173703461320384001e-02
1.059999999999999970e-01,7.173505626769734189e-02
1.069999999999999979e-01,7.173279207784603873e-02
1.079999999999999988e-01,7.173024068455302604e-02
1.089999999999999997e-01,7.172740024133178460e-02
1.100000000000000006e-01,7.172426900310005515e-02
1.110000000000000014e-01,7.172084521837376880e-02
1.120000000000000023e-01,7.171712870046841048e-02
1.130000000000000032e-01,7.171311826006479540e-02
1.140000000000000041e-01,7.170881291182608364e-02
1.150000000000000050e-01,7.170421111372388134e-02
1.160000000000000059e-01,7.169931304917744053e-02
1.170000000000000068e-01,7.169411763719824027e-02
1.180000000000000077e-01,7.168862454984410715e-02
1.190000000000000085e-01,7.168283360748735344e-02
1.199999999999999956e-01,7.167674515984889805e-02
1.209999999999999964e-01,7.167035867737171773e-02
1.219999999999999973e-01,7.166367476556291527e-02
1.229999999999999982e-01,7.165669277300665274e-02
1.239999999999999991e-01,7.164941347075372280e-02
1.250000000000000000e-01,7.164183775023127976e-02
1.260000000000000009e-01,7.163396619614122163e-02
1.270000000000000018e-01,7.162579973770527575e-02
1.280000000000000027e-01,7.161733807689769915e-02
1.290000000000000036e-01,7.160858397424772759e-02
1.300000000000000044e-01,7.159953741350709444e-02
1.310000000000000053e-01,7.159020030006321700e-02
1.320000000000000062e-01,7.158057282950090749e-02
1.330000000000000071e-01,7.157065711395704799e-02
1.340000000000000080e-01,7.156045501209033766e-02
1.350000000000000089e-01,7.154996800538582225e-02
1.360000000000000098e-01,7.153919797569997796e-02
1.370000000000000107e-01,7.152814670676677089e-02
1.380000000000000115e-01,7.151681648667902735e-02
1.390000000000000124e-01,7.150520910633956229e-02
1.400000000000000133e-01,7.149332742775478533e-02
1.410000000000000142e-01,7.148117455011690491e-02
1.420000000000000151e-01,7.146875252560593028e-02
1.430000000000000160e-01,7.145606436107945769e-02
1.440000000000000169e-01,7.144311263570427006e-02
1.449999999999999900e-01,7.142990090075355958e-02
1.459999999999999909e-01,7.141643251243592894e-02
1.469999999999999918e-01,7.140271072324304302e-02
1.479999999999999927e-01,7.138873817031660129e-02
1.489999999999999936e-01,7.137451854683815600e-02
1.499999999999999944e-01,7.136005501193674883e-02
1.509999999999999953e-01,7.134535186203951052e-02
1.519999999999999962e-01,7.133041230985659453e-02
1.529999999999999971e-01,7.131524164798871968e-02
1.539999999999999980e-01,7.129984315839014986e-02
1.549999999999999989e-01,7.128422039529759557e-02
1.559999999999999998e-01,7.126837780896211338e-02
1.570000000000000007e-01,7.125231849203494949e-02
1.580000000000000016e-01,7.123604829499521895e-02
1.590000000000000024e-01,7.121957072144625978e-02
1.600000000000000033e-01,7.120289007452963725e-02
1.610000000000000042e-01,7.118601246091010859e-02
1.620000000000000051e-01,7.116894148710886658e-02
1.630000000000000060e-01,7.115168139477873188e-02
1.640000000000000069e-01,7.113423798588938696e-02
1.650000000000000078e-01,7.111661671878018176e-02
1.660000000000000087e-01,7.109882297431714682e-02
1.670000000000000095e-01,7.108086208029117115e-02
1.680000000000000104e-01,7.106273861152290205e-02
1.690000000000000113e-01,7.104445851594434758e-02
1.700000000000000122e-01,7.102602870100538368e-02
1.710000000000000131e-01,7.100745311292240569e-02
1.720000000000000140e-01,7.098873805184890973e-02
1.730000000000000149e-01,7.096988892312126873e-02
1.740000000000000158e-01,7.095091146110102387e-02
1.750000000000000167e-01,7.093181153679066486e-02
1.759999999999999898e-01,7.091259528753905694e-02
1.769999999999999907e-01,7.089326920345634386e-02
1.779999999999999916e-01,7.087383876233202540e-02
1.789999999999999925e-01,7.085431046158073565e-02
1.799999999999999933e-01,7.083468988975645531e-02
1.809999999999999942e-01,7.081498405859276701e-02
1.819999999999999951e-01,7.079519936296413407e-02
1.829999999999999960e-01,7.077534224903295201e-02
1.839999999999999969e-01,7.075541968787014968e-02
1.849999999999999978e-01,7.073543754120503735e-02
1.859999999999999987e-01,7.071540332198596179e-02
1.869999999999999996e-01,7.069532307338094457e-02
1.880000000000000004e-01,7.067520425709737653e-02
1.890000000000000013e-01,7.065505357342030668e-02
1.900000000000000022e-01,7.063487704381510301e-02
