freq_Hz,PSD
0.000000000000000000e+00,1.917599269136195130e-04
2.441406250000268952e-01,9.401442510660621896e-05
4.882812500000537903e-01,3.589264992856912810e-05
7.324218750000807132e-01,1.609573222216472213e-02
9.765625000001075806e-01,7.763951540162221387e-02
1.220703125000134559e+00,2.740230234895783476e-02
1.464843750000161426e+00,1.867202065052202601e-04
1.708984375000188294e+00,1.103148905474578166e-05
1.953125000000215161e+00,7.305753347809914971e-06
2.197265625000242029e+00,2.269398263740435862e-05
2.441406250000269118e+00,2.082576383528721034e-04
2.685546875000295763e+00,4.038474905054458691e-02
2.929687500000322853e+00,3.496548230942506108e-01
3.173828125000349498e+00,2.048984946546307251e-01
3.417968750000376588e+00,4.153444843143587126e-03
3.662109375000403233e+00,8.618833959094409204e-05
3.906250000000430322e+00,5.574040937950404921e-06
4.150390625000457412e+00,7.743958571821133702e-06
4.394531250000484057e+00,1.245481497967082009e-04
4.638671875000510703e+00,1.147131407128885484e-02
4.882812500000538236e+00,1.984624554310819022e-01
5.126953125000564881e+00,1.883494559224377918e-01
5.371093750000591527e+00,9.399778033480153672e-03
5.615234375000618172e+00,1.330254492203512601e-04
5.859375000000645706e+00,1.468307499335781668e-05
6.103515625000672351e+00,3.092342361586220759e-06
6.347656250000698996e+00,9.215496729722850506e-07
6.591796875000726530e+00,3.422344870813993755e-07
6.835937500000753175e+00,1.480421199126034399e-07
7.080078125000779821e+00,7.163146792319328072e-08
7.324218750000806466e+00,3.776125067564035346e-08
7.568359375000834000e+00,2.129900629005307177e-08
7.812500000000860645e+00,1.268870657090792827e-08
8.056640625000888178e+00,7.907815033927738598e-09
8.300781250000914824e+00,5.118133800679208296e-09
8.544921875000941469e+00,3.420763447903607876e-09
8.789062500000968114e+00,2.350407036835347598e-09
9.033203125000994760e+00,1.654262613231919224e-09
9.277343750001021405e+00,1.189126502522453290e-09
9.521484375001048051e+00,8.708771651662213045e-10
9.765625000001076472e+00,6.484967949194010473e-10
1.000976562500110312e+01,4.901574206140261730e-10
1.025390625000112976e+01,3.754962325172819892e-10
1.049804687500115641e+01,2.911877744485248052e-10
1.074218750000118305e+01,2.283322239404924645e-10
1.098632812500120970e+01,1.808746493795255417e-10
1.123046875000123634e+01,1.446256664459973441e-10
1.147460937500126477e+01,1.166416638617660495e-10
1.171875000000129141e+01,9.482489462863972324e-11
1.196289062500131806e+01,7.766080040368069833e-11
1.220703125000134470e+01,6.404262493769909811e-11
1.245117187500137135e+01,5.315252357407643894e-11
1.269531250000139799e+01,4.437983183069544404e-11
1.293945312500142464e+01,3.726414221698976880e-11
1.318359375000145306e+01,3.145517475641304270e-11
1.342773437500147971e+01,2.668416438204462489e-11
1.367187500000150635e+01,2.274324208079592401e-11
1.391601562500153300e+01,1.947042800779279093e-11
1.416015625000155964e+01,1.673860639432466398e-11
1.440429687500158629e+01,1.444735405774892149e-11
1.464843750000161293e+01,1.251683338757679252e-11
1.489257812500164135e+01,1.088319220816762807e-11
1.513671875000166800e+01,9.495072844209301402e-12
1.538085937500169464e+01,8.310944187935149630e-12
1.562500000000172129e+01,7.297049046813116396e-12
1.586914062500174794e+01,6.425814794207112811e-12
1.611328125000177636e+01,5.674615269471332395e-12
1.635742187500180123e+01,5.024800723026001899e-12
1.660156250000182965e+01,4.460933567812075228e-12
1.684570312500185452e+01,3.970183102428994184e-12
1.708984375000188294e+01,3.541843716534002635e-12
1.733398437500190781e+01,3.166949534329392162e-12
1.757812500000193623e+01,2.837964768212986796e-12
1.782226562500196465e+01,2.548533800319466623e-12
1.806640625000198952e+01,2.293278617858353734e-12
1.831054687500201794e+01,2.067633948951120043e-12
1.855468750000204281e+01,1.867712562614245225e-12
1.879882812500207123e+01,1.690194794286406868e-12
1.904296875000209610e+01,1.532237604788956068e-12
1.928710937500212452e+01,1.391399466074528742e-12
1.953125000000215294e+01,1.265578098773702378e-12
1.977539062500217781e+01,1.152958700249794028e-12
2.001953125000220624e+01,1.051970757242471173e-12
2.026367187500223110e+01,9.612519113319428836e-13
2.050781250000225953e+01,8.796176319434198811e-13
2.075195312500228439e+01,8.060357003435133139e-13
2.099609375000231282e+01,7.396046664857422807e-13
2.124023437500234124e+01,6.795356313456337240e-13
2.148437500000236611e+01,6.251367823055889488e-13
2.172851562500239453e+01,5.758002466730321922e-13
2.197265625000241940e+01,5.309908794626550986e-13
2.221679687500244782e+01,4.902366860973167011e-13
2.246093750000247269e+01,4.531206129488742669e-13
2.270507812500250111e+01,4.192735069162006269e-13
2.294921875000252953e+01,3.883680523628339227e-13
2.319335937500255440e+01,3.601135480140124009e-13
2.343750000000258282e+01,3.342513919339275514e-13
2.368164062500260769e+01,3.105511766460017696e-13
2.392578125000263611e+01,2.888072976806811493e-13
2.416992187500266098e+01,2.688360118608664232e-13
2.441406250000268940e+01,2.504728726349517242e-13
2.465820312500271783e+01,2.335704947495276268e-13
2.490234375000274269e+01,2.179966020724830123e-13
2.514648437500277112e+01,2.036323180763579853e-13
2.539062500000279599e+01,1.903706680022373928e-13
2.563476562500282441e+01,1.781152639292430106e-13
2.587890625000284928e+01,1.667791479562043349e-13
2.612304687500287770e+01,1.562837737291837040e-13
2.636718750000290612e+01,1.465581078804879726e-13
2.661132812500293099e+01,1.375378370364128521e-13
2.685546875000295941e+01,1.291646644756393236e-13
2.709960937500298428e+01,1.213856895959212426e-13
2.734375000000301270e+01,1.141528554289126311e-13
2.758789062500303757e+01,1.074224587758610429e-13
2.783203125000306599e+01,1.011547142505798491e-13
2.807617187500309441e+01,9.531336642308076960e-14
2.832031250000311928e+01,8.986534319050629764e-14
2.856445312500314770e+01,8.478044740068843673e-14
2.880859375000317257e+01,8.003107980681771661e-14
2.905273437500320100e+01,7.559199265059114930e-14
2.929687500000322586e+01,7.144006778953814252e-14
2.954101562500325429e+01,6.755411798216666019e-14
2.978515625000328271e+01,6.391470872366110999e-14
3.002929687500330758e+01,6.050399773546476672e-14
3.027343750000333600e+01,5.730559066369053692e-14
3.051757812500336087e+01,5.430441120162579873e-14
3.076171875000338929e+01,5.148658364385507476e-14
3.100585937500341416e+01,4.883932737575326004e-14
3.125000000000344258e+01,4.635086090635103613e-14
