freq_Hz,PSD
0.000000000000000000e+00,1.138434184699115551e-07
2.441406250000268952e-01,3.177197817191517793e-08
4.882812500000537903e-01,3.198204744366444255e-08
7.324218750000807132e-01,1.416449656080182922e-05
9.765625000001075806e-01,6.311212566195261971e-05
1.220703125000134559e+00,2.077738340420281680e-05
1.464843750000161426e+00,1.124250580218596583e-07
1.708984375000188294e+00,4.318342379011124245e-09
1.953125000000215161e+00,7.557945884524988343e-10
2.197265625000242029e+00,4.757521083728677270e-10
2.441406250000269118e+00,2.003105415048101865e-09
2.685546875000295763e+00,3.405382897011793707e-07
2.929687500000322853e+00,2.850183524418794894e-06
3.173828125000349498e+00,1.639204566351087911e-06
3.417968750000376588e+00,3.194670165090539532e-08
3.662109375000403233e+00,7.111708439456810469e-10
3.906250000000430322e+00,6.303593461672478601e-11
4.150390625000457412e+00,6.156709917419776122e-12
4.394531250000484057e+00,1.059426842989208524e-10
4.638671875000510703e+00,1.201807340475484333e-08
4.882812500000538236e+00,2.071222936175446937e-07
5.126953125000564881e+00,1.935556679257280777e-07
5.371093750000591527e+00,9.518778218460955212e-09
5.615234375000618172e+00,1.396116644269449571e-10
5.859375000000645706e+00,1.593512793899900414e-11
6.103515625000672351e+00,3.488230776286807896e-12
6.347656250000698996e+00,1.083579115638925460e-12
6.591796875000726530e+00,4.199040911563852347e-13
6.835937500000753175e+00,1.895456759815693124e-13
7.080078125000779821e+00,9.566643702351411527e-14
7.324218750000806466e+00,5.257839958475672660e-14
7.568359375000834000e+00,3.090488379685725772e-14
7.812500000000860645e+00,1.917962539399682655e-14
8.056640625000888178e+00,1.244877959805199042e-14
8.300781250000914824e+00,8.389813044171349732e-15
8.544921875000941469e+00,5.838079987193672688e-15
8.789062500000968114e+00,4.175701562548432613e-15
9.033203125000994760e+00,3.058774003868666445e-15
9.277343750001021405e+00,2.287809099295707507e-15
9.521484375001048051e+00,1.742846496831443094e-15
9.765625000001076472e+00,1.349426651846252558e-15
1.000976562500110312e+01,1.060014462956687579e-15
1.025390625000112976e+01,8.434911170765886926e-16
1.049804687500115641e+01,6.790189484895158901e-16
1.074218750000118305e+01,5.523564927630966555e-16
1.098632812500120970e+01,4.535878912592156956e-16
1.123046875000123634e+01,3.756909710427341134e-16
1.147460937500126477e+01,3.136149317174113587e-16
1.171875000000129141e+01,2.636746622696812135e-16
1.196289062500131806e+01,2.231458455536653256e-16
1.220703125000134470e+01,1.899898053050178193e-16
1.245117187500137135e+01,1.626636563830687768e-16
1.269531250000139799e+01,1.399874496338392885e-16
1.293945312500142464e+01,1.210499708440791671e-16
1.318359375000145306e+01,1.051411230001474539e-16
1.342773437500147971e+01,9.170283010666570344e-17
1.367187500000150635e+01,8.029300397724806880e-17
1.391601562500153300e+01,7.055883017507725792e-17
1.416015625000155964e+01,6.221677415962861464e-17
1.440429687500158629e+01,5.503748285259089121e-17
1.464843750000161293e+01,4.883428656823402186e-17
1.489257812500164135e+01,4.345437288368138847e-17
1.513671875000166800e+01,3.877196041230258726e-17
1.538085937500169464e+01,3.468298166295378467e-17
1.562500000000172129e+01,3.110091335486879673e-17
1.586914062500174794e+01,2.795348559874431578e-17
1.611328125000177636e+01,2.518006893540152581e-17
1.635742187500180123e+01,2.272958754810382773e-17
1.660156250000182965e+01,2.055884359572886394e-17
1.684570312500185452e+01,1.863116458946064105e-17
1.708984375000188294e+01,1.691530611460075863e-17
1.733398437500190781e+01,1.538455744500746371e-17
1.757812500000193623e+01,1.401600924941667636e-17
1.782226562500196465e+01,1.278995139919768059e-17
1.806640625000198952e+01,1.168937571345833072e-17
1.831054687500201794e+01,1.069956374494603785e-17
1.855468750000204281e+01,9.807743743215320543e-18
1.879882812500207123e+01,9.002804168444825771e-18
1.904296875000209610e+01,8.275053588662045007e-18
1.928710937500212452e+01,7.616018779595557311e-18
1.953125000000215294e+01,7.018274407946722399e-18
1.977539062500217781e+01,6.475298908822394461e-18
2.001953125000220624e+01,5.981352168580312633e-18
2.026367187500223110e+01,5.531371420621626126e-18
2.050781250000225953e+01,5.120882392391929494e-18
2.075195312500228439e+01,4.745923275359030928e-18
2.099609375000231282e+01,4.402979493536148838e-18
2.124023437500234124e+01,4.088927608004082371e-18
2.148437500000236611e+01,3.800986953554007902e-18
2.172851562500239453e+01,3.536677852983008887e-18
2.197265625000241940e+01,3.293785430517320115e-18
2.221679687500244782e+01,3.070328207538354050e-18
2.246093750000247269e+01,2.864530793521197741e-18
2.270507812500250111e+01,2.674800086004226882e-18
2.294921875000252953e+01,2.499704495453770716e-18
2.319335937500255440e+01,2.337955766969997974e-18
2.343750000000258282e+01,2.188393054414454077e-18
2.368164062500260769e+01,2.049968935772020910e-18
2.392578125000263611e+01,1.921737115487454261e-18
2.416992187500266098e+01,1.802841594573057538e-18
2.441406250000268940e+01,1.692507106193886543e-18
2.465820312500271783e+01,1.590030675777066417e-18
2.490234375000274269e+01,1.494774139609426294e-18
2.514648437500277112e+01,1.406157519412657609e-18
2.539062500000279599e+01,1.323653138944111337e-18
2.563476562500282441e+01,1.246780393643269693e-18
2.587890625000284928e+01,1.175101094478054295e-18
2.612304687500287770e+01,1.108215318743780468e-18
2.636718750000290612e+01,1.045757703408039981e-18
2.661132812500293099e+01,9.873941364040459752e-19
2.685546875000295941e+01,9.328187922359965609e-19
2.709960937500298428e+01,8.817514783504745344e-19
2.734375000000301270e+01,8.339352535389366957e-19
2.758789062500303757e+01,7.891342897609517185e-19
2.783203125000306599e+01,7.471319496436504962e-19
2.807617187500309441e+01,7.077290553967126330e-19
2.832031250000311928e+01,6.707423303802038643e-19
2.856445312500314770e+01,6.360029917342080691e-19
2.880859375000317257e+01,6.033554812573919900e-19
2.905273437500320100e+01,5.726563163937078346e-19
2.929687500000322586e+01,5.437730527233273895e-19
2.954101562500325429e+01,5.165833424769020508e-19
2.978515625000328271e+01,4.909740821318551613e-19
3.002929687500330758e+01,4.668406387947742468e-19
3.027343750000333600e+01,4.440861472829530694e-19
3.051757812500336087e+01,4.226208716129685379e-19
3.076171875000338929e+01,4.023616235221410057e-19
3.100585937500341416e+01,3.832312336132589336e-19
3.125000000000344258e+01,3.651580688075308764e-19
3.149414062500347100e+01,3.480755924018348579e-19
3.173828125000349587e+01,3.319219628756601254e-19
3.198242187500352429e+01,3.166396664986446270e-19
3.222656250000355271e+01,3.021751822677976618e-19
3.247070312500357403e+01,2.884786745402399784e-19
3.271484375000360245e+01,2.755037126638670132e-19
3.295898437500363087e+01,2.632070126815325988e-19
3.320312500000365930e+01,2.515482015308937334e-19
3.344726562500368772e+01,2.404896002280203251e-19
3.369140625000370903e+01,2.299960247054660066e-19
3.393554687500373745e+01,2.200346030434154281e-19
3.417968750000376588e+01,2.105746069085052701e-19
3.442382812500379430e+01,2.015872973417050568e-19
3.466796875000381561e+01,1.930457814071633166e-19
3.491210937500384404e+01,1.849248815721611018e-19
3.515625000000387246e+01,1.772010141208177483e-19
3.540039062500390088e+01,1.698520776492816074e-19
3.564453125000392930e+01,1.628573498138114140e-19
3.588867187500395062e+01,1.561973921181822563e-19
3.613281250000397904e+01,1.498539617868542400e-19
3.637695312500400746e+01,1.438099303749456097e-19
3.662109375000403588e+01,1.380492084298131330e-19
3.686523437500406430e+01,1.325566755852791088e-19
3.710937500000408562e+01,1.273181160844155993e-19
3.735351562500411404e+01,1.223201588037604021e-19
