t,J,phi,r
0.000000000000000000e+00,0.000000000000000000e+00,8.762197394745117830e-05,7.122649676019401910e-02
1.000000000000000021e-03,4.409412060108999214e-08,8.761660334155100508e-05,7.122682363766076608e-02
2.000000000000000042e-03,1.735565338759095680e-07,8.761088270293834073e-05,7.122747141232142754e-02
3.000000000000000062e-03,3.838992046610929770e-07,8.760481216602511673e-05,7.122843416161948882e-02
4.000000000000000083e-03,6.702948329065274369e-07,8.759839194748329609e-05,7.122970485149485165e-02
5.000000000000000104e-03,1.027583656442169960e-06,8.759162234142071587e-05,7.123127786198642231e-02
6.000000000000000125e-03,1.450281082474809713e-06,8.758450371422638340e-05,7.123314679704838281e-02
7.000000000000000146e-03,1.932586139529606231e-06,8.757703649908029340e-05,7.123530497186143784e-02
8.000000000000000167e-03,2.468390739140767476e-06,8.756922119017251612e-05,7.123774561288470641e-02
9.000000000000001055e-03,3.051289735062492866e-06,8.756105833657256267e-05,7.124046221229687892e-02
1.000000000000000021e-02,3.674591766873706787e-06,8.755254853584878744e-05,7.124344885212877121e-02
1.099999999999999936e-02,4.331330872804669978e-06,8.754369242735987361e-05,7.124669813008667474e-02
1.200000000000000025e-02,5.014278855363502979e-06,8.753449068530566644e-05,7.125020365082984641e-02
1.300000000000000114e-02,5.715958382072389983e-06,8.752494401148168054e-05,7.125395824768458730e-02
1.400000000000000029e-02,6.428656801627838884e-06,8.751505312781448988e-05,7.125795518227162617e-02
1.499999999999999944e-02,7.144440655548979347e-06,8.750481876864149003e-05,7.126218665847580680e-02
1.600000000000000033e-02,7.855170862132044977e-06,8.749424167278311703e-05,7.126664635525400970e-02
1.700000000000000122e-02,8.552518550776510271e-06,8.748332257538865770e-05,7.127132673906007299e-02
1.800000000000000211e-02,9.227981520562436102e-06,8.747206219962296687e-05,7.127622074330594582e-02
1.899999999999999953e-02,9.872901298627963335e-06,8.746046124814836522e-05,7.128132196589380409e-02
2.000000000000000042e-02,1.047848076977248022e-05,8.744852039446935851e-05,7.128662338128088916e-02
2.100000000000000130e-02,1.103580235018731596e-05,8.743624027413234468e-05,7.129211783175568029e-02
2.199999999999999872e-02,1.153584667528917002e-05,8.742362147580299593e-05,7.129779867721787456e-02
2.299999999999999961e-02,1.196951177100098759e-05,8.741066453224534427e-05,7.130365829139297118e-02
2.400000000000000050e-02,1.232763267741057401e-05,8.739736991121816953e-05,7.130968942959677037e-02
2.500000000000000139e-02,1.260100149177671539e-05,8.738373800629964036e-05,7.131588453171107400e-02
2.600000000000000228e-02,1.278038779755432393e-05,8.736976912768521604e-05,7.132223667170006776e-02
2.699999999999999969e-02,1.285655944493667076e-05,8.735546349294308821e-05,7.132873786373807035e-02
2.800000000000000058e-02,1.282030364781235805e-05,8.734082121778564175e-05,7.133538203236897135e-02
2.900000000000000147e-02,1.266244836084669178e-05,8.732584230685223198e-05,7.134216181557850867e-02
2.999999999999999889e-02,1.237388390000386401e-05,8.731052664452429815e-05,7.134906891493271452e-02
3.099999999999999978e-02,1.194558476906338066e-05,8.729487398582564111e-05,7.135609703704817730e-02
3.200000000000000067e-02,1.136863165395081421e-05,8.727888394738530001e-05,7.136323840482017289e-02
3.300000000000000155e-02,1.063423354631732915e-05,8.726255599850838850e-05,7.137048558558335698e-02
3.400000000000000244e-02,9.733749957026723395e-06,8.724588945239470760e-05,7.137783175201824204e-02
3.500000000000000333e-02,8.658713180180781981e-06,8.722888345748437298e-05,7.138526848446474782e-02
3.600000000000000422e-02,7.400850567543247637e-06,8.721153698899567115e-05,7.139278952815267254e-02
3.699999999999999817e-02,5.952106772997429307e-06,8.719384884063931544e-05,7.140038696611127056e-02
3.799999999999999906e-02,4.304665926719601827e-06,8.717581761656824487e-05,7.140805391309575090e-02
3.899999999999999994e-02,2.450973698050143507e-06,8.715744172355243563e-05,7.141578306787065011e-02
4.000000000000000083e-02,3.837592063941117993e-07,8.713871936343983346e-05,7.142356747002315265e-02
4.100000000000000172e-02,-1.903943260879140904e-06,8.711964852585587843e-05,7.143139884483877544e-02
4.200000000000000261e-02,-4.418772764439205889e-06,8.710022698126336407e-05,7.143926927586019548e-02
4.300000000000000350e-02,-7.167020503725185241e-06,8.708045227430512444e-05,7.144717320862446763e-02
4.399999999999999745e-02,-1.015460892315027848e-05,8.706032171752712688e-05,7.145510331465970699e-02
4.499999999999999833e-02,-1.338707117426595644e-05,8.703983238544205862e-05,7.146305197229681216e-02
4.599999999999999922e-02,-1.686953097410620261e-05,8.701898110900942304e-05,7.147101187627059871e-02
4.700000000000000011e-02,-2.060668289967171947e-05,8.699776447050257429e-05,7.147897662923050066e-02
4.800000000000000100e-02,-2.460277315797912613e-05,8.697617879883660550e-05,7.148693921331079892e-02
4.900000000000000189e-02,-2.886158087079968910e-05,8.695422016529709365e-05,7.149489227457535290e-02
5.000000000000000278e-02,-3.338639991242897296e-05,8.693188437979034572e-05,7.150282890788781098e-02
5.100000000000000366e-02,-3.818002133861433061e-05,8.690916698754353451e-05,7.151074199103925333e-02
5.200000000000000455e-02,-4.324471644368944412e-05,8.688606326631477539e-05,7.151862423218360854e-02
5.299999999999999850e-02,-4.858222048258861085e-05,8.686256822414201086e-05,7.152646931505245165e-02
5.399999999999999939e-02,-5.419371709333929948e-05,8.683867659760271705e-05,7.153427066293847891e-02
5.500000000000000028e-02,-6.007982345503235026e-05,8.681438285064669224e-05,7.154202169729793892e-02
5.600000000000000117e-02,-6.624057621530947838e-05,8.678968117398786018e-05,7.154971510621425945e-02
5.700000000000000205e-02,-7.267541822014215677e-05,8.676456548506822027e-05,7.155734427407599296e-02
5.800000000000000294e-02,-7.938318607821575170e-05,8.673902942864244949e-05,7.156490275278978852e-02
5.900000000000000383e-02,-8.636209859068730158e-05,8.671306637794644182e-05,7.157238419678231545e-02
5.999999999999999778e-02,-9.360974607596370882e-05,8.668666943648652655e-05,7.157978225773195535e-02
6.099999999999999867e-02,-1.011230806185301899e-04,8.665983144047468114e-05,7.158709102110566436e-02
6.199999999999999956e-02,-1.088984072687089780e-04,8.663254496188530374e-05,7.159430338272118610e-02
6.300000000000000044e-02,-1.169313762196812993e-04,8.660480231216756213e-05,7.160141233165134844e-02
6.400000000000000133e-02,-1.252169759863295845e-04,8.657659554662184350e-05,7.160841320222506579e-02
6.500000000000000222e-02,-1.337495276096934121e-04,8.654791646941578870e-05,7.161529905364945325e-02
6.600000000000000311e-02,-1.425226799082086610e-04,8.651875663930024679e-05,7.162206400087399449e-02
6.700000000000000400e-02,-1.515294057968701383e-04,8.648910737596588458e-05,7.162870225295034365e-02
6.800000000000000488e-02,-1.607619996926938210e-04,8.645895976711497663e-05,7.163520683738433537e-02
6.900000000000000577e-02,-1.702120760243724961e-04,8.642830467616458034e-05,7.164157346742829058e-02
7.000000000000000666e-02,-1.798705688613025161e-04,8.639713275068214391e-05,7.164779548052170599e-02
7.100000000000000755e-02,-1.897277326765823766e-04,8.636543443145581968e-05,7.165386791250256959e-02
7.200000000000000844e-02,-1.997731442561018959e-04,8.633319996228953962e-05,7.165978427469663070e-02
7.299999999999999545e-02,-2.099957057652233200e-04,8.630041940044319104e-05,7.166553982321384464e-02
7.399999999999999634e-02,-2.203836489807735474e-04,8.626708262775887551e-05,7.167112919989039599e-02
7.499999999999999722e-02,-2.309245406970954954e-04,8.623317936246623061e-05,7.167654608202365940e-02
7.599999999999999811e-02,-2.416052893110606651e-04,8.619869917164450725e-05,7.168178594343614651e-02
7.699999999999999900e-02,-2.524121525893063519e-04,8.616363148435755696e-05,7.168684310988558683e-02
7.799999999999999989e-02,-2.633307466207825479e-04,8.612796560541191029e-05,7.169171389897074920e-02
7.900000000000000078e-02,-2.743460559539231546e-04,8.609169072979543590e-05,7.169639261384758155e-02
8.000000000000000167e-02,-2.854424449165857873e-04,8.605479595771863997e-05,7.170087422657729637e-02
8.100000000000000255e-02,-2.966036701160254876e-04,8.601727031029201274e-05,7.170515465100740782e-02
8.200000000000000344e-02,-3.078128941127802063e-04,8.597910274581361829e-05,7.170922916758994126e-02
8.300000000000000433e-02,-3.190527002611707802e-04,8.594028217663304619e-05,7.171309379321332000e-02
8.400000000000000522e-02,-3.303051087080832553e-04,8.590079748662659566e-05,7.171674398843722043e-02
8.500000000000000611e-02,-3.415515935377607120e-04,8.586063754920518249e-05,7.172017483020175221e-02
8.600000000000000699e-02,-3.527731010511382876e-04,8.581979124588559734e-05,7.172338170209409391e-02
8.700000000000000788e-02,-3.639500691636512976e-04,8.577824748539513745e-05,7.172636020688280545e-02
8.799999999999999489e-02,-3.750624479059580995e-04,8.573599522327113580e-05,7.172910627032359765e-02
8.899999999999999578e-02,-3.860897210089522455e-04,8.569302348195849156e-05,7.173161730245486423e-02
8.999999999999999667e-02,-3.970109285523591844e-04,8.564932137137084601e-05,7.173388932983272570e-02
9.099999999999999756e-02,-4.078046906553776702e-04,8.560487810989571213e-05,7.173591860787678631e-02
9.199999999999999845e-02,-4.184492321858839545e-04,8.555968304582574986e-05,7.173770135600462949e-02
9.299999999999999933e-02,-4.289224084613876354e-04,8.551372567917586828e-05,7.173923403194340520e-02
9.400000000000000022e-02,-4.392017319158034215e-04,8.546699568388142483e-05,7.174051383002913451e-02
9.500000000000000111e-02,-4.492643997025992523e-04,8.541948293032436857e-05,7.174153723609565103e-02
9.600000000000000200e-02,-4.590873222029376202e-04,8.537117750820235728e-05,7.174230090182005803e-02
